#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                                                        | delivered(/nb) | recorded(/nb) |
| 399767:11318 | 11/19/25 21:32:47 | 594  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000079263    | 0.000075591   |
| 399768:11318 | 11/20/25 01:26:21 | 77   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000005733    | 0.000005449   |
| 399771:11318 | 11/20/25 03:12:20 | 56   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000002798    | 0.000002647   |
| 399912:11328 | 11/23/25 01:59:37 | 552  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000176793    | 0.000167062   |
| 399937:11331 | 11/23/25 21:17:42 | 1065 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000194485    | 0.000184359   |
| 399942:11332 | 11/24/25 06:56:52 | 1151 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000157429    | 0.000149248   |
| 399966:11333 | 11/24/25 17:42:57 | 153  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000079805    | 0.000069554   |
| 399967:11333 | 11/24/25 18:47:46 | 144  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000028916    | 0.000027107   |
| 399970:11334 | 11/25/25 02:31:09 | 802  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000089049    | 0.000085389   |
| 399989:11335 | 11/25/25 10:06:27 | 68   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000036660    | 0.000033899   |
| 400002:11338 | 11/25/25 15:55:59 | 905  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000244422    | 0.000230999   |
| 400007:11338 | 11/25/25 22:39:39 | 72   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000005200    | 0.000004934   |
| 400059:11343 | 11/26/25 19:05:47 | 786  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000203803    | 0.000192892   |
| 400064:11344 | 11/27/25 08:01:23 | 784  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000183125    | 0.000173123   |
| 400090:11349 | 11/28/25 03:26:20 | 51   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000028502    | 0.000026532   |
| 400098:11350 | 11/28/25 06:47:42 | 346  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000136356    | 0.000128722   |
| 400125:11352 | 11/28/25 16:46:01 | 829  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000225185    | 0.000211713   |
| 400126:11352 | 11/28/25 22:11:34 | 245  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000017450    | 0.000016615   |
| 400133:11353 | 11/29/25 03:23:02 | 140  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000078261    | 0.000072549   |
| 400135:11353 | 11/29/25 04:31:17 | 884  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000126916    | 0.000119820   |
| 400165:11356 | 11/29/25 21:47:41 | 1115 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000240990    | 0.000227196   |
| 400177:11357 | 11/30/25 07:39:21 | 740  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000257301    | 0.000241507   |
| 400192:11359 | 11/30/25 17:48:32 | 732  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000244475    | 0.000229265   |
| 400194:11359 | 11/30/25 22:37:41 | 4    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000386    | 0.000000059   |
| 400195:11359 | 11/30/25 22:42:11 | 38   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000002471    | 0.000002046   |
| 400196:11359 | 11/30/25 22:59:05 | 86   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000400    | 0.000000391   |
| 400197:11359 | 11/30/25 23:35:32 | 63   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000004564    | 0.000004217   |
| 400201:11361 | 12/01/25 05:07:39 | 334  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000170329    | 0.000159656   |
| 400239:11365 | 12/01/25 15:06:19 | 292  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000414517    | 0.000367706   |
| 400243:11366 | 12/01/25 21:11:10 | 1230 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000247247    | 0.000232700   |
| 400265:11372 | 12/02/25 18:05:45 | 32   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000007279    | 0.000002481   |
| 400266:11372 | 12/02/25 18:21:45 | 46   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000047012    | 0.000043887   |
| 400295:11377 | 12/03/25 13:11:53 | 799  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000289196    | 0.000270992   |
| 400323:11380 | 12/04/25 11:37:32 | 1134 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000282877    | 0.000266304   |
| 400332:11381 | 12/04/25 21:30:00 | 1187 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000269931    | 0.000254326   |
| 400339:11382 | 12/05/25 08:34:18 | 1081 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000245898    | 0.000230709   |
| 400353:11383 | 12/05/25 17:56:58 | 1209 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000309307    | 0.000289843   |
| 400356:11384 | 12/06/25 04:11:21 | 160  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000094383    | 0.000082806   |
| 400357:11384 | 12/06/25 05:17:17 | 688  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000146064    | 0.000134339   |
| 400358:11384 | 12/06/25 09:48:08 | 6    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000486    | 0.000000001   |
| 400359:11384 | 12/06/25 09:52:22 | 74   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000005599    | 0.000004694   |
| 400360:11384 | 12/06/25 10:22:51 | 6    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000426    | 0.000000002   |
| 400361:11384 | 12/06/25 10:27:01 | 31   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000002121    | 0.000001851   |
| 400362:11384 | 12/06/25 10:40:46 | 5    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000333    | 0             |
| 400363:11384 | 12/06/25 10:45:48 | 48   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000003039    | 0.000002809   |
